record_id,cccd_so,ho_va_ten,ngay_sinh,gioi_tinh,sdt_chinh,dia_chi_cu_tru,tinh_thanh,quoc_tich,ref_ext,so_phu,pid,tinh_trang_hn,trinh_do_hv,nghe_nghiep,noi_sinh,so_nguoi_phu_thuoc,ngay_cap_cccd,dan_toc,created_at
CIT-187484,072061269668,Hồ Hữu Mai,1961-11-13,Nữ,0937579060,"49 Cách Mạng Tháng 8, Phường Vũ Ninh, TP. Bắc Ninh, Bắc Ninh",Hưng Yên,Việt Nam,ho.huu.mai442@yahoo.com,0789637302,072061269668,Góa,Tiến sĩ,Nông dân,An Giang,3,2023-03-01,Mường,2023-12-13
CIT-316010,084187077666,Phan Ngọc Tuấn,1987-12-19,Nữ,0357990905,"453 Trần Phú, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Hải Phòng,Việt Nam,phan.ngoc.tuan570@outlook.com,0325688262,084187077666,Góa,Tiến sĩ,Lập trình viên,Thừa Thiên Huế,0,2023-06-15,Khmer,2022-02-01
CIT-856055,034069796842,Phạm Bảo An,1969-04-19,Nữ,0855125381,"158 Trần Phú, Phường An Bình, TP. Rạch Giá, Kiên Giang",Hải Phòng,Việt Nam,pham.bao.an471@protonmail.com,0357068105,034069796842,Đã kết hôn,Đại học,Công nhân,Cần Thơ,4,2017-09-07,Khmer,2024-01-05
CIT-159030,046178670674,Lý Thị Yến,1978-05-04,Nữ,0783115515,"414 Phạm Văn Đồng, Phường Bắc Sơn, TP. Sầm Sơn, Thanh Hóa",Bắc Ninh,Việt Nam,ly.thi.yen835@protonmail.com,0926565483,046178670674,Góa,Cao đẳng,Bác sĩ,Ninh Bình,5,2022-06-06,Khmer,2023-01-16
CIT-662583,091183751728,Dương Trung Hà,1983-07-29,Nam,0399840625,"192 Bà Triệu, Phường Hồng Gai, TP. Hạ Long, Quảng Ninh",TP. Hồ Chí Minh,Việt Nam,duong.trung.ha920@protonmail.com,0868165446,091183751728,Ly hôn,Thạc sĩ,Công nhân,Nghệ An,5,2020-07-21,Khmer,2022-02-07
CIT-381858,082174502928,Bùi Anh Linh,1974-07-13,Nữ,0858968236,"119 Võ Thị Sáu, Phường Hiến Nam, TP. Hưng Yên, Hưng Yên",Quảng Ninh,Việt Nam,bui.anh.linh961@outlook.com,0856781645,082174502928,Ly hôn,Tiến sĩ,Bác sĩ,An Giang,5,2021-12-25,Mường,2023-07-17
CIT-167496,027003719146,Đặng Ngọc Quân,2003-04-21,Nữ,0903625471,"390 Đinh Tiên Hoàng, Phường Thu Thủy, TX. Cửa Lò, Nghệ An",Hải Phòng,Việt Nam,dang.ngoc.quan435@hotmail.com,0864758427,027003719146,Ly hôn,Tiến sĩ,Kinh doanh tự do,Ninh Bình,2,2015-10-22,H'Mông,2024-01-04
CIT-522893,089073641075,Ngô Thanh Phúc,1973-12-08,Nữ,0934985978,"180 Lê Văn Sỹ, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",Bình Dương,Việt Nam,ngo.thanh.phuc856@gmail.com,0914215710,089073641075,Độc thân,Trung học phổ thông,Nhân viên văn phòng,Đồng Nai,5,2022-03-03,Tày,2022-12-20
CIT-667751,051265796209,Lý Thành Giang,1965-08-30,Nam,0843808388,"284 Lê Lợi, Phường Suối Tre, TP. Long Khánh, Đồng Nai",An Giang,Việt Nam,ly.thanh.giang447@gmail.com,0379491800,051265796209,Độc thân,Đại học,Kỹ sư,Quảng Ninh,1,2018-05-13,Khmer,2022-01-11
CIT-353766,024399784073,Trần Xuân Mai,1999-01-17,Nữ,0917714998,"168 Nguyễn Trãi, Phường Hố Nai, TP. Biên Hòa, Đồng Nai",Bắc Ninh,Việt Nam,tran.xuan.mai902@gmail.com,0885111229,024399784073,Đã kết hôn,Thạc sĩ,Kỹ sư,Nghệ An,3,2024-08-06,Thái,2024-04-05
CIT-448921,014082659686,Đỗ Ngọc Giang,1982-03-28,Nam,0916014920,"364 Lê Văn Sỹ, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",Ninh Bình,Việt Nam,do.ngoc.giang456@yahoo.com,0891714268,014082659686,Đã kết hôn,Trung học phổ thông,Nhân viên văn phòng,Hưng Yên,5,2024-12-08,H'Mông,2023-03-22
CIT-435571,048390356708,Đặng Minh An,1990-03-19,Nam,0373662793,"134 Bà Triệu, Phường Ngọc Trạo, TP. Thanh Hóa, Thanh Hóa",Ninh Bình,Việt Nam,dang.minh.an490@protonmail.com,0825841424,048390356708,Góa,Trung học phổ thông,Công nhân,Kiên Giang,4,2023-09-17,H'Mông,2022-02-15
CIT-629397,067063636642,Dương Thùy Mai,1963-09-08,Nam,0969108000,"79 Nguyễn Văn Cừ, Phường Bắc Sơn, TP. Tam Điệp, Ninh Bình",Bắc Ninh,Việt Nam,duong.thuy.mai99@hotmail.com,0596688369,067063636642,Đã kết hôn,Trung học phổ thông,Kinh doanh tự do,Bắc Ninh,4,2021-01-26,Tày,2024-11-30
CIT-698070,079283695167,Ngô Thanh Lan,1983-03-17,Nữ,0828381552,"195 Phan Đình Phùng, Phường Phú Bài, TX. Hương Thủy, Thừa Thiên Huế",TP. Hồ Chí Minh,Việt Nam,ngo.thanh.lan20@hotmail.com,0856083368,079283695167,Ly hôn,Cao đẳng,Lập trình viên,Thái Nguyên,3,2021-01-08,Mường,2024-10-05
CIT-247706,056195996933,Trần Quốc Phúc,1995-12-01,Nam,0821902080,"153 Đinh Tiên Hoàng, Phường Xuân Thanh, TP. Long Khánh, Đồng Nai",Ninh Bình,Việt Nam,tran.quoc.phuc369@protonmail.com,0968828604,056195996933,Độc thân,Trung học phổ thông,Kỹ sư,Hải Phòng,0,2018-09-26,Nùng,2023-06-01
CIT-795428,030294252069,Vũ Thùy Lan,1994-05-20,Nam,0819116089,"483 Võ Thị Sáu, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Thừa Thiên Huế,Việt Nam,vu.thuy.lan411@hotmail.com,0384745526,030294252069,Ly hôn,Đại học,Công nhân,Hải Dương,0,2019-05-31,Khmer,2023-11-05
CIT-349338,022280159015,Lý Thanh Nam,1980-12-22,Nam,0897255876,"428 Nguyễn Văn Cừ, Xã Ninh Mỹ, Huyện Hoa Lư, Ninh Bình",Ninh Bình,Việt Nam,ly.thanh.nam765@protonmail.com,0849183911,022280159015,Ly hôn,Tiến sĩ,Giáo viên,Nghệ An,3,2015-07-01,Tày,2024-12-23
CIT-302812,064088814423,Ngô Trung Linh,1988-03-04,Nữ,0594998617,"228 Nguyễn Huệ, Phường Minh Thành, TX. Quảng Yên, Quảng Ninh",Hải Dương,Việt Nam,ngo.trung.linh477@gmail.com,0817718388,064088814423,Góa,Trung học phổ thông,Lập trình viên,Đồng Nai,5,2021-08-13,Mường,2023-05-18
CIT-456563,072275599686,Hoàng Thị Thảo,1975-09-01,Nam,0779377094,"19 Đinh Tiên Hoàng, Phường Văn An, TP. Chí Linh, Hải Dương",Thừa Thiên Huế,Việt Nam,hoang.thi.thao196@protonmail.com,0902690689,072275599686,Độc thân,Trung học phổ thông,Công nhân,Ninh Bình,4,2022-08-08,Kinh,2022-03-22
CIT-700601,004393482357,Ngô Thị Quân,1993-08-18,Nữ,0349202065,"484 Lê Văn Sỹ, Phường An Thới, TP. Phú Quốc, Kiên Giang",Hưng Yên,Việt Nam,ngo.thi.quan697@gmail.com,0913618852,004393482357,Độc thân,Đại học,Kế toán,Kiên Giang,4,2019-10-04,Mường,2024-04-02
CIT-351818,080368510454,Đỗ Minh Nam,1968-11-17,Nữ,0889844749,"30 Điện Biên Phủ, Phường Hà Huy Tập, TP. Vinh, Nghệ An",Cần Thơ,Việt Nam,do.minh.nam547@protonmail.com,0775531368,080368510454,Độc thân,Cao đẳng,Kế toán,Ninh Bình,0,2023-06-13,Tày,2022-01-15
CIT-998913,060362955017,Trần Thành Hùng,1962-02-11,Nữ,0599262760,"222 Cách Mạng Tháng 8, Xã An Sơn, Huyện Nam Sách, Hải Dương",Thái Nguyên,Việt Nam,tran.thanh.hung492@protonmail.com,0928409312,060362955017,Độc thân,Đại học,Nông dân,Hà Nội,1,2022-11-21,H'Mông,2022-01-23
CIT-481896,074190843676,Đỗ Văn Quân,1990-03-19,Nữ,0893573082,"499 Phan Đình Phùng, Phường Đông Sơn, TP. Thanh Hóa, Thanh Hóa",Bình Dương,Việt Nam,do.van.quan243@outlook.com,0812146043,074190843676,Đã kết hôn,Tiến sĩ,Nông dân,Thanh Hóa,3,2021-07-17,Kinh,2022-07-01
CIT-941238,095165835467,Ngô Đức Việt,1965-10-05,Nam,0365426737,"413 Cách Mạng Tháng 8, Phường An Phú, Huyện Thuận An, Bình Dương",Đà Nẵng,Việt Nam,ngo.duc.viet600@outlook.com,0586589274,095165835467,Ly hôn,Thạc sĩ,Nhân viên văn phòng,Thừa Thiên Huế,2,2022-01-21,Nùng,2023-07-13
CIT-819785,022191392990,Phan Trung Nam,1991-05-27,Nữ,0825805165,"409 Phạm Văn Đồng, Phường Hải Châu 1, Quận Hải Châu, Đà Nẵng",Hưng Yên,Việt Nam,phan.trung.nam219@outlook.com,0944147074,022191392990,Độc thân,Đại học,Bác sĩ,TP. Hồ Chí Minh,1,2021-03-13,H'Mông,2022-07-25
CIT-415525,084379537910,Hồ Hữu Hùng,1979-12-10,Nam,0829332489,"344 Lý Thường Kiệt, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Bình Dương,Việt Nam,ho.huu.hung969@gmail.com,0819761524,084379537910,Đã kết hôn,Cao đẳng,Kế toán,Hưng Yên,2,2015-09-02,Kinh,2022-08-16
CIT-305096,022384011972,Lê Thùy Hà,1984-04-19,Nam,0977625199,"24 Nguyễn Văn Cừ, Phường Văn An, TP. Chí Linh, Hải Dương",Hà Nội,Việt Nam,le.thuy.ha678@outlook.com,0932818773,022384011972,Đã kết hôn,Thạc sĩ,Kinh doanh tự do,Cần Thơ,5,2021-10-08,Thái,2022-01-06
CIT-536245,070081667427,Vũ Anh Uyên,1981-08-27,Nam,0389371623,"280 Lê Văn Sỹ, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",An Giang,Việt Nam,vu.anh.uyen575@gmail.com,0842727684,070081667427,Góa,Tiến sĩ,Kế toán,TP. Hồ Chí Minh,1,2024-12-08,H'Mông,2022-11-28
CIT-744620,034389269172,Phan Xuân Long,1989-05-08,Nữ,0966008177,"43 Cách Mạng Tháng 8, Xã Đặng Cương, Huyện An Dương, Hải Phòng",TP. Hồ Chí Minh,Việt Nam,phan.xuan.long736@yahoo.com,0337491166,034389269172,Ly hôn,Tiến sĩ,Kỹ sư,Đồng Nai,5,2015-03-05,Tày,2023-09-04
CIT-155658,072365715838,Lê Quốc Việt,1965-02-18,Nam,0367270714,"97 Cách Mạng Tháng 8, Xã Bình An, Huyện Kiên Lương, Kiên Giang",Kiên Giang,Việt Nam,le.quoc.viet594@outlook.com,0961180768,072365715838,Góa,Đại học,Bác sĩ,Hải Phòng,2,2017-10-07,Kinh,2023-05-25
CIT-280221,014292998874,Đỗ Trung Nga,1992-09-06,Nữ,0323358804,"293 Nguyễn Huệ, Phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương",Kiên Giang,Việt Nam,do.trung.nga376@hotmail.com,0323375059,014292998874,Đã kết hôn,Cao đẳng,Nhân viên văn phòng,Kiên Giang,1,2023-06-24,Khmer,2023-09-03
CIT-479676,010088428084,Phạm Thanh Tuấn,1988-08-26,Nữ,0796473926,"174 Nguyễn Trãi, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",Thanh Hóa,Việt Nam,pham.thanh.tuan791@hotmail.com,0391436179,010088428084,Đã kết hôn,Trung học phổ thông,Lập trình viên,TP. Hồ Chí Minh,0,2016-09-08,Khmer,2023-05-16
CIT-706274,036374593768,Phạm Thị Toàn,1974-10-27,Nam,0786685375,"476 Hoàng Văn Thụ, Phường Tây Lộc, TP. Huế, Thừa Thiên Huế",Đà Nẵng,Việt Nam,pham.thi.toan717@gmail.com,0761547915,036374593768,Ly hôn,Thạc sĩ,Nông dân,Thừa Thiên Huế,0,2021-06-05,Thái,2022-05-31
CIT-511209,001277097751,Lê Thành Xuân,1977-02-18,Nữ,0786381462,"198 Phạm Văn Đồng, Phường Hà Khánh, TP. Hạ Long, Quảng Ninh",Bắc Ninh,Việt Nam,le.thanh.xuan775@protonmail.com,0967773160,001277097751,Góa,Thạc sĩ,Kinh doanh tự do,TP. Hồ Chí Minh,0,2019-05-08,Thái,2023-04-05
CIT-765869,072397709175,Hoàng Quốc Uyên,1997-10-21,Nam,0378925877,"116 Hai Bà Trưng, Phường Quang Trung, TP. Thái Nguyên, Thái Nguyên",Bắc Ninh,Việt Nam,hoang.quoc.uyen767@outlook.com,0869386469,072397709175,Ly hôn,Đại học,Giáo viên,Hà Nội,2,2021-02-01,Thái,2024-12-28
CIT-940950,070373760596,Dương Văn Toàn,1973-08-12,Nam,0392555745,"439 Phan Đình Phùng, Phường Bắc Sơn, TP. Tam Điệp, Ninh Bình",Hải Dương,Việt Nam,duong.van.toan496@gmail.com,0967037761,070373760596,Ly hôn,Thạc sĩ,Kinh doanh tự do,Hải Phòng,0,2016-03-16,Kinh,2024-09-18
CIT-404013,089373379644,Bùi Thùy Nga,1973-10-03,Nữ,0926728085,"78 Hai Bà Trưng, Phường Tây Lộc, TP. Huế, Thừa Thiên Huế",Thanh Hóa,Việt Nam,bui.thuy.nga304@protonmail.com,0865502386,089373379644,Độc thân,Cao đẳng,Kỹ sư,An Giang,2,2022-09-07,Mường,2024-12-18
CIT-858712,001378397364,Dương Quốc Yến,1978-09-12,Nam,0922135470,"477 Nam Kỳ Khởi Nghĩa, Phường Đông Mai, TX. Quảng Yên, Quảng Ninh",Kiên Giang,Việt Nam,duong.quoc.yen35@protonmail.com,0948393840,001378397364,Góa,Thạc sĩ,Nhân viên văn phòng,Thừa Thiên Huế,0,2023-06-28,Nùng,2023-02-25
CIT-591190,037166521144,Bùi Hữu Phúc,1966-06-22,Nam,0942170363,"389 Trường Chinh, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",Ninh Bình,Việt Nam,bui.huu.phuc134@protonmail.com,0923892245,037166521144,Đã kết hôn,Trung học phổ thông,Kinh doanh tự do,Kiên Giang,5,2016-11-18,Thái,2023-02-18
CIT-926061,094190054406,Lê Minh Hùng,1990-09-13,Nam,0774855156,"12 Cách Mạng Tháng 8, Phường Đình Bảng, TP. Từ Sơn, Bắc Ninh",Hà Nội,Việt Nam,le.minh.hung580@hotmail.com,0781038690,094190054406,Góa,Tiến sĩ,Nhân viên văn phòng,Cần Thơ,1,2018-10-28,Mường,2024-03-13
CIT-630420,031086143172,Huỳnh Phương Giang,1986-11-10,Nữ,0799093231,"442 Nguyễn Trãi, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",Bắc Ninh,Việt Nam,huynh.phuong.giang295@protonmail.com,0976715036,031086143172,Đã kết hôn,Trung học phổ thông,Giáo viên,An Giang,0,2017-11-14,Tày,2024-01-12
CIT-359607,082083339721,Huỳnh Thành Giang,1983-09-30,Nữ,0926078183,"410 Nguyễn Huệ, Phường Long Tuyền, Quận Bình Thủy, Cần Thơ",Đồng Nai,Việt Nam,huynh.thanh.giang564@protonmail.com,0947658665,082083339721,Độc thân,Cao đẳng,Kỹ sư,Thái Nguyên,5,2021-08-14,Tày,2022-12-12
CIT-197549,046001945778,Trần Minh Châu,2001-02-18,Nữ,0917957606,"277 Hoàng Văn Thụ, Phường Đông Mai, TX. Quảng Yên, Quảng Ninh",An Giang,Việt Nam,tran.minh.chau164@protonmail.com,0984405484,046001945778,Độc thân,Đại học,Bác sĩ,Hải Dương,4,2019-01-23,H'Mông,2024-04-17
CIT-415010,092381324753,Lê Hữu Dũng,1981-04-04,Nam,0931139955,"278 Phạm Văn Đồng, Phường Quang Trung, TP. Thái Nguyên, Thái Nguyên",An Giang,Việt Nam,le.huu.dung483@gmail.com,0336438861,092381324753,Độc thân,Trung học phổ thông,Bác sĩ,An Giang,3,2018-07-02,Thái,2022-06-12
CIT-858286,017090086265,Lê Văn Giang,1990-07-21,Nữ,0895992185,"204 Nguyễn Trãi, Phường Bắc Sơn, TP. Tam Điệp, Ninh Bình",An Giang,Việt Nam,le.van.giang635@yahoo.com,0361932035,017090086265,Ly hôn,Thạc sĩ,Kinh doanh tự do,Cần Thơ,3,2018-08-01,Nùng,2022-02-06
CIT-389170,038367265145,Ngô Thị Nam,1967-09-04,Nam,0354855602,"274 Phan Đình Phùng, Phường Ngọc Trạo, TP. Thanh Hóa, Thanh Hóa",Hải Dương,Việt Nam,ngo.thi.nam207@gmail.com,0899517601,038367265145,Góa,Cao đẳng,Kế toán,Kiên Giang,1,2019-06-18,Khmer,2022-01-22
CIT-723293,026298467071,Phan Văn Châu,1998-10-10,Nam,0783257914,"138 Phạm Văn Đồng, Phường Bắc Sơn, TP. Sầm Sơn, Thanh Hóa",Hưng Yên,Việt Nam,phan.van.chau636@outlook.com,0322604804,026298467071,Ly hôn,Trung học phổ thông,Giáo viên,Nghệ An,3,2021-10-31,H'Mông,2024-09-16
CIT-699216,014287077189,Đỗ Đức An,1987-09-11,Nam,0342999140,"65 Trường Chinh, Phường An Bình, TP. Rạch Giá, Kiên Giang",Thái Nguyên,Việt Nam,do.duc.an993@protonmail.com,0941062928,014287077189,Ly hôn,Tiến sĩ,Kế toán,Đồng Nai,4,2018-10-26,Khmer,2022-11-27
CIT-438390,052275958907,Bùi Trung Dũng,1975-06-01,Nam,0368203403,"43 Hoàng Diệu, Phường Nam Hòa, TX. Quảng Yên, Quảng Ninh",Bình Dương,Việt Nam,bui.trung.dung926@outlook.com,0868708970,052275958907,Ly hôn,Trung học phổ thông,Lập trình viên,Bình Dương,2,2021-04-18,H'Mông,2024-08-15
CIT-462625,017378136614,Dương Minh Toàn,1978-06-25,Nam,0792175912,"295 Hoàng Văn Thụ, Phường Bình Chuẩn, Huyện Thuận An, Bình Dương",Thừa Thiên Huế,Việt Nam,duong.minh.toan778@outlook.com,0969053339,017378136614,Đã kết hôn,Đại học,Lập trình viên,Quảng Ninh,5,2018-06-06,Tày,2023-12-03
CIT-732921,045300172795,Dương Thành Tuấn,2000-03-23,Nữ,0898995231,"386 Hoàng Diệu, Phường Dư Hàng, Quận Lê Chân, Hải Phòng",Thái Nguyên,Việt Nam,duong.thanh.tuan855@yahoo.com,0354798268,045300172795,Ly hôn,Tiến sĩ,Kỹ sư,Hải Dương,1,2018-04-15,Mường,2024-05-07
CIT-730621,006292009944,Nguyễn Thanh An,1992-05-04,Nam,0926944782,"213 Lý Thường Kiệt, Phường Long Bình, TP. Biên Hòa, Đồng Nai",Hải Dương,Việt Nam,nguyen.thanh.an416@outlook.com,0563112096,006292009944,Ly hôn,Đại học,Bác sĩ,TP. Hồ Chí Minh,1,2019-08-17,H'Mông,2023-04-18
CIT-970511,095292967785,Nguyễn Hữu Châu,1992-03-13,Nam,0386571507,"56 Đinh Tiên Hoàng, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ",Thừa Thiên Huế,Việt Nam,nguyen.huu.chau840@yahoo.com,0916213337,095292967785,Độc thân,Đại học,Công nhân,Hưng Yên,3,2021-05-30,H'Mông,2022-01-27
CIT-740026,051262131988,Lý Văn Uyên,1962-12-13,Nam,0776535795,"230 Hoàng Diệu, Xã Khánh Hòa, Huyện Châu Phú, An Giang",Bình Dương,Việt Nam,ly.van.uyen590@protonmail.com,0796419744,051262131988,Góa,Thạc sĩ,Công nhân,Đồng Nai,0,2018-12-16,Tày,2022-02-10
CIT-415825,079179777785,Ngô Đức Hà,1979-05-07,Nữ,0797755917,"369 Bà Triệu, Phường Hiến Nam, TP. Hưng Yên, Hưng Yên",Cần Thơ,Việt Nam,ngo.duc.ha589@gmail.com,0358253192,079179777785,Ly hôn,Thạc sĩ,Kinh doanh tự do,Đà Nẵng,5,2018-06-30,Thái,2022-10-26
CIT-372428,084271333550,Vũ Bảo Sơn,1971-03-10,Nam,0833953395,"318 Hoàng Văn Thụ, Phường Đồng Quang, TP. Thái Nguyên, Thái Nguyên",Cần Thơ,Việt Nam,vu.bao.son753@outlook.com,0947101617,084271333550,Ly hôn,Tiến sĩ,Kế toán,Quảng Ninh,2,2017-08-04,Nùng,2024-03-30
CIT-915658,086174775255,Bùi Văn Linh,1974-05-01,Nam,0883927917,"172 Điện Biên Phủ, Phường Châu Phú B, TP. Châu Đốc, An Giang",Quảng Ninh,Việt Nam,bui.van.linh848@protonmail.com,0384713050,086174775255,Đã kết hôn,Trung học phổ thông,Công nhân,Thái Nguyên,2,2018-10-26,Tày,2023-03-03
CIT-287394,031078886187,Nguyễn Đức Lan,1978-12-24,Nam,0838980134,"98 Điện Biên Phủ, Phường Kinh Bắc, TP. Bắc Ninh, Bắc Ninh",Bình Dương,Việt Nam,nguyen.duc.lan248@yahoo.com,0881751994,031078886187,Ly hôn,Trung học phổ thông,Kinh doanh tự do,TP. Hồ Chí Minh,1,2017-10-15,H'Mông,2022-09-28
CIT-473811,072081383398,Huỳnh Thị An,1981-11-12,Nữ,0981908301,"140 Lý Thường Kiệt, Xã Yên Trung, Huyện Yên Phong, Bắc Ninh",Cần Thơ,Việt Nam,huynh.thi.an970@hotmail.com,0916126251,072081383398,Độc thân,Trung học phổ thông,Bác sĩ,Ninh Bình,2,2024-08-06,Kinh,2022-09-27
CIT-609937,083095987108,Huỳnh Minh Tâm,1995-12-03,Nam,0375185348,"367 Trường Chinh, Phường Thanh Bình, TP. Ninh Bình, Ninh Bình",Hải Dương,Việt Nam,huynh.minh.tam954@gmail.com,0972846755,083095987108,Ly hôn,Thạc sĩ,Nhân viên văn phòng,Ninh Bình,3,2016-05-11,Mường,2024-06-04
CIT-529475,049103291155,Ngô Minh Hà,2003-01-03,Nam,0338223988,"69 Trần Phú, Thị trấn An Dương, Huyện An Dương, Hải Phòng",Kiên Giang,Việt Nam,ngo.minh.ha914@outlook.com,0796300639,049103291155,Đã kết hôn,Trung học phổ thông,Kỹ sư,Thừa Thiên Huế,3,2015-10-27,Thái,2022-03-27
CIT-947957,060374525310,Hoàng Đức Bình,1974-02-07,Nữ,0928472447,"98 Bà Triệu, Phường Thuận Hòa, TP. Huế, Thừa Thiên Huế",Nghệ An,Việt Nam,hoang.duc.binh935@protonmail.com,0341636561,060374525310,Độc thân,Trung học phổ thông,Giáo viên,Hải Dương,3,2023-03-21,Kinh,2022-04-13
CIT-722745,048066564078,Hồ Minh Tuấn,1966-09-03,Nam,0345715196,"198 Trường Chinh, Xã Hoằng Phú, Huyện Hoằng Hóa, Thanh Hóa",Kiên Giang,Việt Nam,ho.minh.tuan418@protonmail.com,0979986829,048066564078,Ly hôn,Trung học phổ thông,Nông dân,Ninh Bình,3,2021-09-06,Kinh,2023-12-19
CIT-895602,037286419702,Đỗ Văn Việt,1986-07-09,Nam,0909030128,"246 Lý Thường Kiệt, Phường Phú Cường, TP. Thủ Dầu Một, Bình Dương",Đồng Nai,Việt Nam,do.van.viet844@gmail.com,0395871820,037286419702,Góa,Cao đẳng,Kế toán,Thừa Thiên Huế,1,2018-12-11,Mường,2023-08-03
CIT-332726,074070559380,Nguyễn Thùy Tâm,1970-01-06,Nam,0918439765,"53 Nguyễn Trãi, Xã Khánh Hòa, Huyện Châu Phú, An Giang",Ninh Bình,Việt Nam,nguyen.thuy.tam623@protonmail.com,0777906443,074070559380,Góa,Trung học phổ thông,Lập trình viên,Thanh Hóa,3,2017-12-15,Khmer,2022-03-14
CIT-490672,074383471272,Phan Anh Tâm,1983-02-08,Nam,0869244717,"156 Võ Thị Sáu, Phường Đổng Quốc Bình, Quận Ngô Quyền, Hải Phòng",Nghệ An,Việt Nam,phan.anh.tam360@protonmail.com,0897747304,074383471272,Đã kết hôn,Đại học,Kế toán,Đà Nẵng,4,2015-07-19,Nùng,2024-06-17
CIT-466466,074060141246,Phạm Hữu Giang,1960-09-23,Nữ,0936557897,"361 Hoàng Văn Thụ, Phường Hà Khánh, TP. Hạ Long, Quảng Ninh",Đồng Nai,Việt Nam,pham.huu.giang19@yahoo.com,0387350648,074060141246,Góa,Tiến sĩ,Công nhân,Hải Phòng,4,2023-10-12,Tày,2024-05-01
CIT-993506,046184013228,Trần Quốc Long,1984-07-23,Nam,0585406052,"490 Hoàng Diệu, Phường 11, Quận Bình Thạnh, TP. Hồ Chí Minh",Hưng Yên,Việt Nam,tran.quoc.long25@gmail.com,0865962489,046184013228,Độc thân,Tiến sĩ,Kỹ sư,Kiên Giang,1,2021-05-15,H'Mông,2024-10-12
CIT-424907,051370141667,Phan Thanh Quân,1970-08-17,Nữ,0387572101,"409 Hoàng Diệu, Phường Hồng Gai, TP. Hạ Long, Quảng Ninh",Thái Nguyên,Việt Nam,phan.thanh.quan791@gmail.com,0331501784,051370141667,Độc thân,Đại học,Kế toán,Hưng Yên,1,2021-11-24,Thái,2023-04-08
CIT-558943,072203111522,Nguyễn Thùy Xuân,2003-09-04,Nữ,0855554508,"263 Tô Hiến Thành, Phường Nghi Hải, TX. Cửa Lò, Nghệ An",Đồng Nai,Việt Nam,nguyen.thuy.xuan368@gmail.com,0903630034,072203111522,Đã kết hôn,Đại học,Bác sĩ,Thừa Thiên Huế,2,2022-02-01,Mường,2022-04-25
CIT-400909,004171235357,Nguyễn Đức Giang,1971-03-16,Nam,0897412950,"95 Võ Thị Sáu, Phường Thủy Dương, TX. Hương Thủy, Thừa Thiên Huế",Đà Nẵng,Việt Nam,nguyen.duc.giang532@protonmail.com,0345402249,004171235357,Độc thân,Tiến sĩ,Bác sĩ,An Giang,0,2018-10-11,Kinh,2024-04-25
CIT-288421,052091891080,Phan Anh Bình,1991-10-31,Nam,0569183869,"395 Nguyễn Trãi, Xã Khánh Hòa, Huyện Châu Phú, An Giang",Đồng Nai,Việt Nam,phan.anh.binh598@protonmail.com,0904249762,052091891080,Góa,Trung học phổ thông,Nhân viên văn phòng,Cần Thơ,3,2019-05-21,Khmer,2023-10-24
CIT-251778,031173015532,Dương Bảo Long,1973-07-31,Nam,0813502745,"98 Trần Phú, Xã Dũng Liệt, Huyện Yên Phong, Bắc Ninh",Thái Nguyên,Việt Nam,duong.bao.long241@outlook.com,0366036577,031173015532,Ly hôn,Trung học phổ thông,Kế toán,Đà Nẵng,0,2020-12-23,Kinh,2022-11-09
CIT-376373,058088964780,Phan Thanh Nga,1988-04-26,Nam,0797857925,"13 Nguyễn Trãi, Xã Ninh Hiệp, Huyện Gia Lâm, Hà Nội",Thừa Thiên Huế,Việt Nam,phan.thanh.nga895@protonmail.com,0392710197,058088964780,Đã kết hôn,Đại học,Kinh doanh tự do,Cần Thơ,2,2023-02-22,Mường,2024-04-18
CIT-147465,022294066469,Đặng Bảo Việt,1994-11-09,Nam,0812316876,"387 Trần Phú, Phường Suối Hoa, TP. Bắc Ninh, Bắc Ninh",An Giang,Việt Nam,dang.bao.viet114@protonmail.com,0386235338,022294066469,Độc thân,Đại học,Giáo viên,Thái Nguyên,1,2018-07-13,Nùng,2022-08-26
CIT-572316,001289326966,Vũ Xuân Toàn,1989-12-26,Nam,0897946950,"414 Cách Mạng Tháng 8, Phường Văn Chương, Quận Đống Đa, Hà Nội",Thừa Thiên Huế,Việt Nam,vu.xuan.toan304@protonmail.com,0969834329,001289326966,Đã kết hôn,Trung học phổ thông,Kỹ sư,Quảng Ninh,0,2017-12-11,H'Mông,2023-12-26
CIT-901710,033372131222,Ngô Trung Nga,1972-03-10,Nam,0966504977,"405 Lê Lợi, Xã Đồi 61, Huyện Trảng Bom, Đồng Nai",Thừa Thiên Huế,Việt Nam,ngo.trung.nga28@yahoo.com,0778545277,033372131222,Ly hôn,Đại học,Nông dân,Thừa Thiên Huế,0,2021-10-11,Tày,2023-05-21
