ho_so_id,ref_id,ten_chu_ho_so,val_02,loai_ho_so,co_quan_tiep_nhan,ngay_nop,han_giai_quyet,trang_thai_xu_ly,ext_info,code_x,so_bao_hiem,phi_ho_so,nhan_vien_xu_ly,dia_chi_lien_lac,meta_addr,so_ho_khau,kenh_tiep_nhan,ket_qua_xu_ly,updated_at
ADM-556244,036160191255,Dương Văn Yến,0858953504,Chứng minh nhân dân,UBND Quận Bình Thạnh,2024-12-29,2025-02-15,Đang xử lý,duong.van.yen416@protonmail.com,036160191255,6510581190,100000,NV-751678,"489 Trường Chinh, Phường An Biên, Quận Lê Chân, Hải Phòng","64 Hoàng Văn Thụ, Phường Suối Hoa, TP. Bắc Ninh, Bắc Ninh",070/601088,Bưu điện,Chấp thuận,2024-02-29
ADM-680136,037393281008,Huỳnh Thanh Yến,0901073360,Ly hôn,Sở Tư pháp TP.HCM,2023-01-27,2023-02-24,Từ chối,huynh.thanh.yen63@protonmail.com,037393281008,8341879411,50000,NV-940321,"452 Điện Biên Phủ, Phường Bách Quang, TP. Sông Công, Thái Nguyên","347 Bà Triệu, Xã Diễn Hồng, Huyện Diễn Châu, Nghệ An",020/885673,Bưu điện,Đang xem xét,2023-10-23
ADM-210965,015387027709,Lê Phương Yến,0869100496,Đăng ký kết hôn,Sở Tư pháp Hà Nội,2021-01-12,2021-02-19,Hoàn thành,le.phuong.yen595@protonmail.com,015387027709,1079559430,50000,NV-896066,"39 Võ Thị Sáu, Phường Vũ Ninh, TP. Bắc Ninh, Bắc Ninh","344 Trần Phú, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",040/418801,Qua đại lý,Chấp thuận,2023-02-05
ADM-487437,086088989984,Hoàng Thành Việt,0357823309,Chứng minh nhân dân,UBND Quận 1,2023-07-19,2023-08-26,Chờ bổ sung hồ sơ,hoang.thanh.viet283@gmail.com,086088989984,6754375539,100000,NV-399568,"433 Lý Thường Kiệt, Xã Đồi 61, Huyện Trảng Bom, Đồng Nai","16 Trần Phú, Xã Lạc Đạo, Huyện Văn Lâm, Hưng Yên",096/568114,Online,Đang xem xét,2022-02-06
ADM-535550,027066230212,Ngô Thị Giang,0352161397,Chứng minh nhân dân,UBND Quận Bình Thạnh,2022-01-11,2022-02-07,Chờ bổ sung hồ sơ,ngo.thi.giang626@yahoo.com,027066230212,2141481710,0,NV-884345,"1 Phan Đình Phùng, Phường Quang Trung, TP. Vinh, Nghệ An","205 Trần Phú, Phường Nam Đồng, Quận Đống Đa, Hà Nội",080/124869,Qua đại lý,Từ chối,2023-01-21
ADM-586347,004179396037,Ngô Quốc An,0781468100,Ly hôn,Sở Tư pháp Hà Nội,2023-06-17,2023-08-02,Hoàn thành,ngo.quoc.an689@outlook.com,004179396037,8286014372,50000,NV-370681,"411 Bà Triệu, Xã Ninh An, Huyện Hoa Lư, Ninh Bình","271 Lê Lợi, Phường An Bình, TP. Rạch Giá, Kiên Giang",040/997467,Online,Từ chối,2023-04-26
ADM-984453,044372580113,Huỳnh Đức Hùng,0831970706,Ly hôn,UBND Quận Hoàn Kiếm,2024-12-23,2025-01-17,Chờ bổ sung hồ sơ,huynh.duc.hung964@hotmail.com,044372580113,8980316380,50000,NV-886912,"300 Lý Thường Kiệt, Phường Nam Hòa, TX. Quảng Yên, Quảng Ninh","446 Phạm Văn Đồng, Xã Đặng Cương, Huyện An Dương, Hải Phòng",030/128972,Bưu điện,Đang xem xét,2022-02-17
ADM-444573,046294941938,Hoàng Minh Long,0333745272,Chứng minh nhân dân,Sở Tư pháp TP.HCM,2022-10-18,2022-10-25,Từ chối,hoang.minh.long195@hotmail.com,046294941938,8058544046,0,NV-517199,"316 Hoàng Diệu, Phường Châu Phú A, TP. Châu Đốc, An Giang","32 Tô Hiến Thành, Xã Phú Cường, Huyện Đại Từ, Thái Nguyên",087/513553,Qua đại lý,Đang xem xét,2023-02-25
ADM-640589,020280525596,Hoàng Xuân Long,0848498979,Hộ chiếu,UBND Quận 1,2022-12-06,2023-01-26,Chờ bổ sung hồ sơ,hoang.xuan.long234@protonmail.com,020280525596,7152871576,50000,NV-457506,"361 Phạm Văn Đồng, Phường Phả Lại, TP. Chí Linh, Hải Dương","375 Nguyễn Huệ, Phường Châu Khê, TP. Từ Sơn, Bắc Ninh",094/302860,Bưu điện,Từ chối,2024-05-07
ADM-540833,024182691557,Bùi Anh Châu,0978329702,Đăng ký kinh doanh,Sở Tư pháp TP.HCM,2023-10-16,2023-10-28,Chờ bổ sung hồ sơ,bui.anh.chau957@hotmail.com,024182691557,1617740135,100000,NV-907362,"435 Võ Thị Sáu, Phường Suối Hoa, TP. Bắc Ninh, Bắc Ninh","488 Võ Thị Sáu, Phường Phú Bài, TX. Hương Thủy, Thừa Thiên Huế",025/712670,Qua đại lý,Từ chối,2024-12-03
ADM-718868,091185081998,Dương Anh Long,0352147097,Chứng minh nhân dân,UBND Quận Hoàn Kiếm,2023-12-03,2024-01-28,Hoàn thành,duong.anh.long336@protonmail.com,091185081998,5033749582,200000,NV-452844,"468 Tô Hiến Thành, Phường Tứ Hạ, TX. Hương Trà, Thừa Thiên Huế","167 Nam Kỳ Khởi Nghĩa, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",092/202639,Bưu điện,Từ chối,2024-09-28
ADM-645600,056080386037,Bùi Quốc Dũng,0324703399,Hộ chiếu,UBND Quận Bình Thạnh,2021-04-22,2021-06-18,Hoàn thành,bui.quoc.dung543@gmail.com,056080386037,2634732011,50000,NV-865755,"349 Nguyễn Văn Cừ, Xã Hương Xuân, TX. Hương Trà, Thừa Thiên Huế","239 Điện Biên Phủ, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",034/987931,Online,Chấp thuận,2023-08-21
ADM-637451,058382011814,Đỗ Bảo Thảo,0883614321,Giấy phép xây dựng,UBND Huyện Gia Lâm,2023-07-30,2023-09-17,Hoàn thành,do.bao.thao488@hotmail.com,058382011814,7023418043,0,NV-940843,"205 Hai Bà Trưng, Xã Hoằng Phú, Huyện Hoằng Hóa, Thanh Hóa","478 Nguyễn Trãi, Phường Phùng Chí Kiên, TX. Mỹ Hào, Hưng Yên",025/515163,Online,Từ chối,2023-05-21
ADM-981697,067183976471,Vũ Thị Yến,0946889721,Hộ chiếu,UBND TP. Hà Nội,2024-12-10,2025-01-25,Đang xử lý,vu.thi.yen955@outlook.com,067183976471,7700805703,50000,NV-530576,"298 Đinh Tiên Hoàng, Phường Minh Khai, TP. Hưng Yên, Hưng Yên","251 Lý Thường Kiệt, Xã Đặng Xá, Huyện Gia Lâm, Hà Nội",036/453111,Trực tiếp,Chấp thuận,2023-01-25
ADM-184685,051364116659,Đỗ Hữu Sơn,0367957838,Giấy phép lái xe,UBND Quận Bình Thạnh,2022-01-27,2022-02-25,Chờ bổ sung hồ sơ,do.huu.son989@protonmail.com,051364116659,9025788919,0,NV-401921,"201 Lê Văn Sỹ, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","44 Phạm Văn Đồng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",019/158771,Bưu điện,Từ chối,2024-02-16
ADM-387726,002074572726,Nguyễn Văn Uyên,0597749544,Giấy phép lái xe,Sở Tư pháp Hà Nội,2023-09-14,2023-10-29,Hoàn thành,nguyen.van.uyen238@yahoo.com,002074572726,2712354381,0,NV-688821,"13 Hoàng Văn Thụ, Phường Tứ Hạ, TX. Hương Trà, Thừa Thiên Huế","443 Cách Mạng Tháng 8, Phường Đồng Kỵ, TP. Từ Sơn, Bắc Ninh",083/332146,Trực tiếp,Từ chối,2023-06-26
ADM-305069,091283261188,Hoàng Hữu Tuấn,0858418247,Giấy phép lái xe,Sở Tư pháp Hà Nội,2024-05-11,2024-05-20,Hoàn thành,hoang.huu.tuan219@gmail.com,091283261188,7918185189,50000,NV-910516,"213 Cách Mạng Tháng 8, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng","391 Nguyễn Trãi, Phường Lam Sơn, TP. Thanh Hóa, Thanh Hóa",066/395818,Bưu điện,Đang xem xét,2022-08-06
ADM-889884,037186770472,Ngô Đức Long,0905620074,Giấy phép lái xe,UBND TP. Hà Nội,2022-06-14,2022-07-31,Từ chối,ngo.duc.long627@protonmail.com,037186770472,9129473155,50000,NV-726978,"234 Nam Kỳ Khởi Nghĩa, Xã Hương Vinh, TX. Hương Trà, Thừa Thiên Huế","351 Cách Mạng Tháng 8, Phường Bình Chuẩn, Huyện Thuận An, Bình Dương",033/352058,Qua đại lý,Đang xem xét,2023-10-28
ADM-139607,094384994944,Trần Thị Toàn,0584452232,Khai sinh,UBND TP. Hà Nội,2022-12-10,2023-01-07,Hoàn thành,tran.thi.toan845@protonmail.com,094384994944,9401529904,100000,NV-703720,"292 Phạm Văn Đồng, Phường Đông Sơn, TP. Thanh Hóa, Thanh Hóa","102 Nguyễn Huệ, Xã Hương Vinh, TX. Hương Trà, Thừa Thiên Huế",087/181700,Trực tiếp,Từ chối,2023-03-15
ADM-463774,012003325628,Huỳnh Phương Lan,0374841190,Đăng ký kinh doanh,UBND Huyện Gia Lâm,2023-01-01,2023-02-01,Đang xử lý,huynh.phuong.lan88@hotmail.com,012003325628,9260041212,100000,NV-263412,"67 Hoàng Diệu, Phường Nam Hòa, TX. Quảng Yên, Quảng Ninh","108 Trần Phú, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà Nẵng",054/112614,Online,Chấp thuận,2022-12-08
ADM-155626,019272233242,Nguyễn Quốc Long,0904828241,Khai sinh,UBND Quận 1,2023-08-26,2023-09-23,Từ chối,nguyen.quoc.long413@outlook.com,019272233242,2229865268,0,NV-617151,"161 Võ Thị Sáu, Xã Bắc Sơn, Huyện Trảng Bom, Đồng Nai","126 Cách Mạng Tháng 8, Phường Văn Chương, Quận Đống Đa, Hà Nội",080/655684,Online,Đang xem xét,2022-03-25
ADM-323272,086264670231,Phạm Bảo Dũng,0764554027,Khai sinh,Sở Kế hoạch và Đầu tư Hà Nội,2021-06-21,2021-07-20,Hoàn thành,pham.bao.dung709@hotmail.com,086264670231,5077010335,0,NV-560380,"242 Điện Biên Phủ, Xã Hoằng Hà, Huyện Hoằng Hóa, Thanh Hóa","451 Nguyễn Trãi, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",092/780861,Bưu điện,Chấp thuận,2024-05-14
ADM-731232,074203879142,Dương Thị Tâm,0894736824,Khai sinh,UBND Quận 1,2024-10-25,2024-11-23,Hoàn thành,duong.thi.tam173@hotmail.com,074203879142,9527417744,200000,NV-497288,"393 Nam Kỳ Khởi Nghĩa, Phường Thủy Phương, TX. Hương Thủy, Thừa Thiên Huế","464 Võ Thị Sáu, Phường An Tảo, TP. Hưng Yên, Hưng Yên",072/749079,Bưu điện,Từ chối,2022-06-20
ADM-577014,072000948712,Hoàng Minh Phúc,0916033622,Hộ chiếu,UBND Huyện Gia Lâm,2021-10-31,2021-11-23,Đang xử lý,hoang.minh.phuc970@outlook.com,072000948712,2498621173,100000,NV-791000,"24 Lê Văn Sỹ, Phường Châu Phú B, TP. Châu Đốc, An Giang","290 Đinh Tiên Hoàng, Phường Nam Hòa, TX. Quảng Yên, Quảng Ninh",019/553951,Bưu điện,Đang xem xét,2024-04-18
ADM-660424,044300572283,Trần Thành Hà,0865001648,Đăng ký kết hôn,UBND Quận 1,2024-01-04,2024-01-20,Hoàn thành,tran.thanh.ha556@outlook.com,044300572283,3809423979,0,NV-461704,"397 Lý Thường Kiệt, Phường Lê Thanh Nghị, TP. Hải Dương, Hải Dương","142 Phan Đình Phùng, Phường Phùng Chí Kiên, TX. Mỹ Hào, Hưng Yên",087/897037,Trực tiếp,Từ chối,2023-12-05
ADM-692190,060383914034,Lê Hữu Châu,0333807651,Ly hôn,Sở Tư pháp TP.HCM,2023-03-08,2023-03-18,Chờ bổ sung hồ sơ,le.huu.chau396@outlook.com,060383914034,4476202782,0,NV-118438,"229 Tô Hiến Thành, Xã An Đồng, Huyện An Dương, Hải Phòng","330 Hai Bà Trưng, Phường Châu Phú A, TP. Châu Đốc, An Giang",077/722445,Online,Từ chối,2022-06-05
ADM-608625,084369809384,Đỗ Quốc Uyên,0353917556,Chứng minh nhân dân,UBND TP. Hà Nội,2023-07-19,2023-07-26,Hoàn thành,do.quoc.uyen946@outlook.com,084369809384,3402314560,50000,NV-786162,"439 Nguyễn Văn Cừ, Xã Dũng Liệt, Huyện Yên Phong, Bắc Ninh","378 Trần Phú, Phường Tây Lộc, TP. Huế, Thừa Thiên Huế",002/796659,Bưu điện,Chấp thuận,2023-11-18
ADM-902439,049182760824,Huỳnh Thanh Tâm,0841934734,Chứng minh nhân dân,UBND TP. Hà Nội,2024-08-30,2024-10-02,Chờ bổ sung hồ sơ,huynh.thanh.tam645@outlook.com,049182760824,3938300767,50000,NV-352866,"307 Trần Phú, Phường Long Bình, TP. Biên Hòa, Đồng Nai","452 Hai Bà Trưng, Phường Thanh Bình, TP. Ninh Bình, Ninh Bình",075/337435,Qua đại lý,Chấp thuận,2024-03-15
ADM-486285,058263559442,Bùi Bảo Uyên,0926866397,Đăng ký kinh doanh,UBND Quận Hoàn Kiếm,2022-11-18,2023-01-05,Đang xử lý,bui.bao.uyen871@yahoo.com,058263559442,6172643027,50000,NV-458902,"468 Điện Biên Phủ, Xã Tam Giang, Huyện Yên Phong, Bắc Ninh","117 Lý Thường Kiệt, Xã Hòa Điền, Huyện Kiên Lương, Kiên Giang",067/557822,Online,Từ chối,2024-02-28
ADM-407314,080075226910,Lý Minh Linh,0705376440,Giấy phép xây dựng,UBND TP. Hà Nội,2022-08-09,2022-09-05,Từ chối,ly.minh.linh80@gmail.com,080075226910,1834073572,50000,NV-645266,"476 Phan Đình Phùng, Phường Nam Sơn, TP. Tam Điệp, Ninh Bình","224 Trần Phú, Xã Dương Hòa, Huyện Kiên Lương, Kiên Giang",093/718457,Bưu điện,Từ chối,2024-10-15
ADM-256226,060062850459,Dương Phương Hà,0828986840,Hộ chiếu,UBND Quận Hoàn Kiếm,2023-09-09,2023-10-31,Hoàn thành,duong.phuong.ha258@hotmail.com,060062850459,9842469265,50000,NV-135650,"327 Điện Biên Phủ, Phường Tân Hiệp, TP. Biên Hòa, Đồng Nai","495 Phan Đình Phùng, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",086/706941,Qua đại lý,Chấp thuận,2022-08-30
ADM-338847,040075475646,Bùi Quốc Lan,0989897616,Giấy phép lái xe,Sở Tư pháp TP.HCM,2022-07-07,2022-08-17,Hoàn thành,bui.quoc.lan102@outlook.com,040075475646,9733813882,100000,NV-403457,"373 Bà Triệu, Xã Mỹ Đức, Huyện Châu Phú, An Giang","495 Lý Thường Kiệt, Phường Đông Sơn, TP. Thanh Hóa, Thanh Hóa",064/950305,Trực tiếp,Chấp thuận,2024-09-10
ADM-121041,040383144091,Lý Anh Bình,0323338229,Đăng ký kinh doanh,Sở Tư pháp Hà Nội,2024-08-30,2024-09-13,Từ chối,ly.anh.binh557@protonmail.com,040383144091,8791060550,200000,NV-948469,"35 Lê Lợi, Xã Hoằng Phú, Huyện Hoằng Hóa, Thanh Hóa","250 Hai Bà Trưng, Phường Đông Thành, TP. Ninh Bình, Ninh Bình",049/846315,Bưu điện,Chấp thuận,2024-10-31
ADM-326846,064376621161,Hồ Bảo Tuấn,0345135279,Ly hôn,UBND Huyện Gia Lâm,2021-03-19,2021-05-13,Hoàn thành,ho.bao.tuan969@yahoo.com,064376621161,9695759019,0,NV-904081,"187 Hoàng Diệu, Phường Lái Thiêu, Huyện Thuận An, Bình Dương","11 Cách Mạng Tháng 8, Phường Nam Đồng, Quận Đống Đa, Hà Nội",034/608955,Online,Chấp thuận,2024-02-20
ADM-751167,048277775451,Vũ Thành Hùng,0373649635,Khai sinh,UBND Huyện Gia Lâm,2022-02-18,2022-03-30,Hoàn thành,vu.thanh.hung305@protonmail.com,048277775451,3559463369,100000,NV-577826,"377 Bà Triệu, Phường Bình Chuẩn, Huyện Thuận An, Bình Dương","497 Trần Phú, Xã Trường Yên, Huyện Hoa Lư, Ninh Bình",066/448578,Online,Từ chối,2024-04-19
ADM-814197,060387425206,Phạm Trung Sơn,0859403910,Khai tử,UBND TP. Hà Nội,2021-06-24,2021-07-20,Đang xử lý,pham.trung.son199@gmail.com,060387425206,8335122565,0,NV-736150,"342 Điện Biên Phủ, Xã Bình Minh, Huyện Trảng Bom, Đồng Nai","499 Nguyễn Văn Cừ, Phường Văn Chương, Quận Đống Đa, Hà Nội",038/929019,Bưu điện,Chấp thuận,2022-09-17
ADM-304474,051303036136,Trần Thị Châu,0939373979,Hộ chiếu,UBND Quận 1,2023-09-21,2023-10-07,Từ chối,tran.thi.chau86@hotmail.com,051303036136,2921850182,100000,NV-537896,"115 Nguyễn Trãi, Phường Ba Đình, TP. Thanh Hóa, Thanh Hóa","12 Bà Triệu, Phường Suối Hoa, TP. Bắc Ninh, Bắc Ninh",087/253567,Qua đại lý,Chấp thuận,2024-12-04
ADM-238961,093099076552,Hồ Thành Việt,0869973262,Đăng ký kết hôn,UBND Quận 1,2021-01-25,2021-02-17,Hoàn thành,ho.thanh.viet218@protonmail.com,093099076552,5605014983,100000,NV-793572,"310 Đinh Tiên Hoàng, Phường An Tảo, TP. Hưng Yên, Hưng Yên","139 Lê Văn Sỹ, Phường Tây Sơn, TP. Tam Điệp, Ninh Bình",001/568703,Trực tiếp,Từ chối,2022-08-26
ADM-146545,037293969466,Trần Thùy Quân,0848475769,Đăng ký kinh doanh,Sở Tư pháp TP.HCM,2024-03-07,2024-04-08,Đang xử lý,tran.thuy.quan306@outlook.com,037293969466,7724015820,0,NV-492265,"209 Cách Mạng Tháng 8, Xã Bắc Sơn, Huyện Trảng Bom, Đồng Nai","219 Võ Thị Sáu, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",058/837436,Bưu điện,Từ chối,2024-01-22
ADM-180552,046189438245,Dương Anh Dũng,0849818626,Giấy phép xây dựng,UBND Quận 1,2022-07-21,2022-08-24,Từ chối,duong.anh.dung752@gmail.com,046189438245,8669097081,0,NV-105592,"49 Lý Thường Kiệt, Phường 22, Quận Bình Thạnh, TP. Hồ Chí Minh","418 Nguyễn Văn Cừ, Phường Đổng Quốc Bình, Quận Ngô Quyền, Hải Phòng",082/634166,Online,Đang xem xét,2024-06-02
ADM-495326,010098114156,Ngô Bảo Quân,0569681600,Giấy phép xây dựng,Sở Kế hoạch và Đầu tư Hà Nội,2021-04-16,2021-05-15,Hoàn thành,ngo.bao.quan557@gmail.com,010098114156,3800551792,0,NV-295085,"51 Tô Hiến Thành, Phường 1, Quận Tân Bình, TP. Hồ Chí Minh","225 Đinh Tiên Hoàng, Xã Trường Yên, Huyện Hoa Lư, Ninh Bình",025/813175,Qua đại lý,Đang xem xét,2024-06-09
ADM-179212,010169059886,Đặng Thành Toàn,0348988038,Chứng minh nhân dân,Sở Kế hoạch và Đầu tư Hà Nội,2022-03-15,2022-04-02,Chờ bổ sung hồ sơ,dang.thanh.toan284@protonmail.com,010169059886,2323283458,0,NV-359953,"438 Hai Bà Trưng, Xã Ninh Hiệp, Huyện Gia Lâm, Hà Nội","295 Điện Biên Phủ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",038/692030,Online,Từ chối,2022-09-17
ADM-852272,017284837274,Phạm Minh Long,0884507459,Chứng minh nhân dân,UBND Huyện Gia Lâm,2022-09-13,2022-09-24,Hoàn thành,pham.minh.long196@gmail.com,017284837274,1994276718,50000,NV-353832,"192 Lê Văn Sỹ, Phường Cải Đan, TP. Sông Công, Thái Nguyên","229 Hoàng Văn Thụ, Xã Hương Vinh, TX. Hương Trà, Thừa Thiên Huế",017/453980,Online,Đang xem xét,2022-01-13
ADM-739193,070000558827,Lê Văn Châu,0794611817,Đăng ký kinh doanh,UBND Huyện Gia Lâm,2023-07-12,2023-07-19,Đang xử lý,le.van.chau121@gmail.com,070000558827,8768919883,0,NV-421185,"62 Lê Lợi, Phường Hàng Kênh, Quận Lê Chân, Hải Phòng","263 Hai Bà Trưng, Phường Rạch Sỏi, TP. Rạch Giá, Kiên Giang",089/195530,Trực tiếp,Chấp thuận,2022-05-18
ADM-659107,026193098512,Hoàng Thành Yến,0351616150,Ly hôn,UBND Quận Bình Thạnh,2022-04-17,2022-04-25,Từ chối,hoang.thanh.yen317@yahoo.com,026193098512,5189086434,50000,NV-538511,"377 Phạm Văn Đồng, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ","403 Hoàng Diệu, Phường Bắc Sơn, TP. Sầm Sơn, Thanh Hóa",051/839445,Trực tiếp,Đang xem xét,2024-04-24
ADM-884449,040393231358,Phan Trung Dũng,0767008951,Giấy phép lái xe,Sở Tư pháp Hà Nội,2022-04-23,2022-06-06,Từ chối,phan.trung.dung198@hotmail.com,040393231358,3236532320,50000,NV-417957,"391 Hoàng Diệu, Phường Mỏ Chè, TP. Sông Công, Thái Nguyên","486 Điện Biên Phủ, Phường Dư Hàng, Quận Lê Chân, Hải Phòng",036/267720,Qua đại lý,Chấp thuận,2023-01-11
ADM-987137,067176344551,Đặng Anh Thảo,0895734952,Khai tử,Sở Tư pháp Hà Nội,2023-08-28,2023-09-13,Hoàn thành,dang.anh.thao339@outlook.com,067176344551,9655153969,0,NV-941441,"258 Lê Lợi, Phường Quang Trung, TP. Vinh, Nghệ An","161 Nguyễn Huệ, Phường Cẩm Bình, TP. Cẩm Phả, Quảng Ninh",038/935800,Qua đại lý,Chấp thuận,2022-08-12
ADM-545320,004090115412,Lý Hữu Việt,0345730135,Chứng minh nhân dân,UBND Huyện Gia Lâm,2021-09-07,2021-09-24,Hoàn thành,ly.huu.viet995@protonmail.com,004090115412,3051918006,200000,NV-308138,"35 Đinh Tiên Hoàng, Phường Hố Nai, TP. Biên Hòa, Đồng Nai","321 Trường Chinh, Phường Hà Khánh, TP. Hạ Long, Quảng Ninh",030/473711,Qua đại lý,Đang xem xét,2022-02-20
ADM-987468,058292689699,Dương Quốc Châu,0834030756,Giấy phép lái xe,Sở Tư pháp Hà Nội,2022-06-05,2022-06-28,Từ chối,duong.quoc.chau833@protonmail.com,058292689699,8799391747,0,NV-724337,"253 Điện Biên Phủ, Xã Long Châu, Huyện Yên Phong, Bắc Ninh","299 Võ Thị Sáu, Xã Đồi 61, Huyện Trảng Bom, Đồng Nai",008/452215,Online,Chấp thuận,2023-01-17
ADM-345595,049286873330,Nguyễn Thanh Xuân,0963216319,Khai tử,UBND Quận Bình Thạnh,2023-01-14,2023-02-28,Đang xử lý,nguyen.thanh.xuan560@gmail.com,049286873330,6980939023,100000,NV-876474,"61 Trần Phú, Phường Văn Chương, Quận Đống Đa, Hà Nội","317 Tô Hiến Thành, Phường Vũ Ninh, TP. Bắc Ninh, Bắc Ninh",066/680671,Online,Đang xem xét,2023-05-30
ADM-726676,089085808721,Dương Xuân Phúc,0387585788,Đăng ký kết hôn,UBND Quận 1,2024-09-01,2024-10-07,Hoàn thành,duong.xuan.phuc726@yahoo.com,089085808721,1463759010,100000,NV-854027,"426 Tô Hiến Thành, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội","369 Nguyễn Văn Cừ, Phường Vũ Ninh, TP. Bắc Ninh, Bắc Ninh",011/320705,Online,Đang xem xét,2022-11-20
ADM-103753,075194993684,Huỳnh Xuân Long,0763705029,Đăng ký kinh doanh,UBND Quận 1,2022-01-18,2022-01-31,Hoàn thành,huynh.xuan.long846@outlook.com,075194993684,5762526354,100000,NV-649970,"464 Trường Chinh, Phường Dị Sử, TX. Mỹ Hào, Hưng Yên","170 Trần Phú, Phường Suối Hoa, TP. Bắc Ninh, Bắc Ninh",068/296713,Online,Chấp thuận,2022-03-19
ADM-723023,026168482566,Nguyễn Thanh An,0966049642,Đăng ký kinh doanh,UBND Quận Bình Thạnh,2023-11-13,2023-12-08,Chờ bổ sung hồ sơ,nguyen.thanh.an68@hotmail.com,026168482566,2617866055,50000,NV-807105,"270 Nguyễn Huệ, Xã Yên Trung, Huyện Yên Phong, Bắc Ninh","386 Nguyễn Trãi, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",015/355284,Bưu điện,Đang xem xét,2022-02-21
ADM-839054,067395486279,Lê Trung Uyên,0566992481,Hộ chiếu,UBND Quận Bình Thạnh,2022-02-14,2022-03-01,Đang xử lý,le.trung.uyen150@outlook.com,067395486279,4028335262,200000,NV-850548,"476 Điện Biên Phủ, Phường Nghi Hải, TX. Cửa Lò, Nghệ An","294 Hoàng Diệu, Phường Võ Cường, TP. Bắc Ninh, Bắc Ninh",022/462316,Qua đại lý,Đang xem xét,2023-11-15
ADM-757554,060280609579,Ngô Minh Phúc,0869857667,Khai sinh,UBND Quận Hoàn Kiếm,2022-01-15,2022-02-07,Từ chối,ngo.minh.phuc797@hotmail.com,060280609579,7235667298,200000,NV-496145,"279 Nguyễn Huệ, Phường Đông Thành, TP. Ninh Bình, Ninh Bình","111 Phạm Văn Đồng, Phường Vĩnh Mỹ, TP. Châu Đốc, An Giang",082/589463,Online,Đang xem xét,2023-07-12
ADM-722232,017263055841,Đặng Minh Mai,0365618033,Chứng minh nhân dân,Sở Tư pháp TP.HCM,2024-01-31,2024-02-24,Từ chối,dang.minh.mai856@outlook.com,017263055841,1641758785,50000,NV-741172,"287 Lê Văn Sỹ, Xã Hoằng Đạo, Huyện Hoằng Hóa, Thanh Hóa","40 Bà Triệu, Phường Vĩnh Thanh, TP. Rạch Giá, Kiên Giang",056/304276,Bưu điện,Đang xem xét,2022-01-04
ADM-626316,095295064340,Phạm Đức Quân,0581460961,Đăng ký kết hôn,UBND Quận Hoàn Kiếm,2022-12-06,2022-12-25,Từ chối,pham.duc.quan36@protonmail.com,095295064340,8225717408,100000,NV-653649,"222 Hoàng Diệu, Xã Tam Giang, Huyện Yên Phong, Bắc Ninh","1 Trường Chinh, Phường Bần Yên Nhân, TX. Mỹ Hào, Hưng Yên",075/667843,Online,Từ chối,2023-01-24
ADM-367432,019381595274,Dương Thùy An,0886765920,Giấy phép lái xe,Sở Kế hoạch và Đầu tư Hà Nội,2021-12-06,2021-12-31,Chờ bổ sung hồ sơ,duong.thuy.an453@outlook.com,019381595274,2930275936,50000,NV-254978,"275 Lê Văn Sỹ, Phường Đình Bảng, TP. Từ Sơn, Bắc Ninh","497 Nguyễn Văn Cừ, Phường Văn An, TP. Chí Linh, Hải Dương",096/514297,Qua đại lý,Chấp thuận,2022-02-17
ADM-838729,006168696873,Lý Thanh Uyên,0384184569,Khai sinh,UBND Huyện Gia Lâm,2024-01-10,2024-03-07,Từ chối,ly.thanh.uyen937@yahoo.com,006168696873,2240727334,200000,NV-231726,"321 Phan Đình Phùng, Phường Hiệp Thành, TP. Thủ Dầu Một, Bình Dương","208 Nguyễn Huệ, Xã Diễn Thịnh, Huyện Diễn Châu, Nghệ An",033/225181,Online,Đang xem xét,2023-08-25
ADM-484425,025175495161,Huỳnh Minh Quân,0789245320,Hộ chiếu,UBND Quận Hoàn Kiếm,2023-05-08,2023-06-05,Từ chối,huynh.minh.quan282@outlook.com,025175495161,5011669047,0,NV-304477,"71 Phạm Văn Đồng, Phường Vĩnh Ninh, TP. Huế, Thừa Thiên Huế","116 Trường Chinh, Phường Mỹ Bình, TP. Long Xuyên, An Giang",077/268228,Qua đại lý,Đang xem xét,2023-07-07
